"ensembl_gene_id" "entrezgene_id"
"306" "ENSDARG00000102454" NA
"307" "ENSDARG00000095324" 100535692
"308" "ENSDARG00000098510" 100141363
"309" "ENSDARG00000030656" 554123
"310" "ENSDARG00000011897" 100333057
"311" "ENSDARG00000055781" 100000544
"312" "ENSDARG00000092249" NA
"313" "ENSDARG00000014954" 100001421
"314" "ENSDARG00000090697" 325102
"315" "ENSDARG00000074387" 100535009
"316" "ENSDARG00000043492" 678604
"317" "ENSDARG00000101102" 101882537
"318" "ENSDARG00000028976" 337487
"319" "ENSDARG00000070074" 557734
"320" "ENSDARG00000005318" 492497
"321" "ENSDARG00000062472" 560837
"322" "ENSDARG00000094710" NA
"323" "ENSDARG00000097607" NA
"324" "ENSDARG00000071662" 100034563
"325" "ENSDARG00000094025" 568721
"326" "ENSDARG00000003592" 557970
"327" "ENSDARG00000037861" 100330897
"328" "ENSDARG00000078162" 101884995
"329" "ENSDARG00000078618" 566188
"330" "ENSDARG00000090730" 792472
"331" "ENSDARG00000070958" 792998
"332" "ENSDARG00000069649" 559491
"333" "ENSDARG00000070774" 100137101
"334" "ENSDARG00000101591" NA
"335" "ENSDARG00000019877" 415207
"336" "ENSDARG00000099439" 336797
"337" "ENSDARG00000076248" 567375
"338" "ENSDARG00000079857" 793832
"339" "ENSDARG00000054570" 569810
"340" "ENSDARG00000104654" 793075
"341" "ENSDARG00000078475" 559613
"342" "ENSDARG00000031387" 259250
"343" "ENSDARG00000011537" 767705
"344" "ENSDARG00000093569" 555648
"345" "ENSDARG00000093845" 110439903
"346" "ENSDARG00000068893" 449776
"347" "ENSDARG00000038213" 447844
"348" "ENSDARG00000104398" 100535926
"349" "ENSDARG00000078814" 100005466
"350" "ENSDARG00000101145" 557893
"351" "ENSDARG00000018006" 406694
"352" "ENSDARG00000058470" 100002318
"353" "ENSDARG00000067794" 100332077
"354" "ENSDARG00000105714" 101883419
"355" "ENSDARG00000096663" 100537239
"356" "ENSDARG00000053630" 555755
"357" "ENSDARG00000069619" 558977
"358" "ENSDARG00000095908" 431716
"359" "ENSDARG00000019307" 114436
"360" "ENSDARG00000068678" 100322600
"361" "ENSDARG00000073750" 415232
"362" "ENSDARG00000060771" 794500
"363" "ENSDARG00000060282" 606559
"364" "ENSDARG00000036546" 564697
"365" "ENSDARG00000102296" 100137609
"366" "ENSDARG00000098403" NA
"367" "ENSDARG00000096872" NA
"368" "ENSDARG00000062427" 100150892
"369" "ENSDARG00000092118" NA
"370" "ENSDARG00000105069" NA
"371" "ENSDARG00000004372" 407694
"372" "ENSDARG00000044091" 100333060
"373" "ENSDARG00000075826" 559917
"374" "ENSDARG00000022350" 556002
"375" "ENSDARG00000053480" 570191
"376" "ENSDARG00000042063" 563686
"377" "ENSDARG00000063626" 799650
"378" "ENSDARG00000054319" 560273
"379" "ENSDARG00000099216" NA
