id,baseMean,log2FoldChange,pvalue,padj
ENSDARG00000012903,1902.910502,0.930773206,9.67E-06,0.001179276
ENSDARG00000025122,613.2058651,0.676593464,9.86E-06,0.001196074
ENSDARG00000094719,4251.785682,0.523829751,9.93E-06,0.001197304
ENSDARG00000074644,445.0441057,0.549354975,1.01E-05,0.001216183
ENSDARG00000056410,2466.922524,-0.541921286,1.05E-05,0.001251196
ENSDARG00000091231,714.6905188,0.827225644,1.06E-05,0.001251196
ENSDARG00000031438,350.4618161,0.507046583,1.08E-05,0.001276558
ENSDARG00000062601,148.3809282,0.862919874,1.11E-05,0.00129473
ENSDARG00000043210,2229.100762,-0.450711101,1.15E-05,0.001339644
ENSDARG00000040732,71.72130465,0.99805707,1.17E-05,NA
ENSDARG00000014976,1766.040915,-0.38108911,1.19E-05,0.001381323
ENSDARG00000030616,1276.78823,0.822471097,1.34E-05,0.001528977
ENSDARG00000025428,4726.238046,0.525660256,1.34E-05,0.001528977
ENSDARG00000079122,565.266491,-0.705976408,1.34E-05,0.001528977
ENSDARG00000002299,719.4358808,-0.590181019,1.36E-05,0.001542024
ENSDARG00000008921,376.569545,-0.438962906,1.37E-05,0.001547493
ENSDARG00000053535,3441.037144,-0.403865516,1.43E-05,0.00159428
ENSDARG00000091431,179.4572426,0.552918404,1.43E-05,0.00159428
ENSDARG00000078069,8801.359842,-0.495592372,1.46E-05,0.001619477
ENSDARG00000054894,10855.83221,-0.193248296,1.48E-05,0.001628123
ENSDARG00000077777,51747.42394,-0.228810713,1.50E-05,0.001637127
ENSDARG00000010936,3734.304358,0.550785889,1.50E-05,0.001637127
ENSDARG00000094634,10245.57662,-0.31395997,1.53E-05,0.001658663
ENSDARG00000008866,150.3526147,0.741569338,1.54E-05,0.001660615
ENSDARG00000089885,715.1683463,0.707192615,1.58E-05,0.001698779
ENSDARG00000039974,2574.574297,-0.453150649,1.61E-05,0.00171648
ENSDARG00000037873,1744.3248,0.659225473,1.62E-05,0.001720858
ENSDARG00000076532,18621.80097,-0.204160038,1.65E-05,0.001739537
ENSDARG00000036135,2632.730806,0.88141448,1.68E-05,0.001769555
ENSDARG00000091609,787.7709648,0.393352766,1.78E-05,0.001858845
ENSDARG00000062108,1275.174336,-0.447692853,1.79E-05,0.001860195
ENSDARG00000040039,626.9190617,0.657506232,1.87E-05,0.001930829
ENSDARG00000079705,1076.530592,0.434994208,1.88E-05,0.001938302
ENSDARG00000002764,2314.033662,0.830773393,1.92E-05,0.001966764
ENSDARG00000053481,3775.947381,-0.600261036,2.05E-05,0.002080199
ENSDARG00000003684,2695.647989,-0.704369833,2.05E-05,0.002080199
ENSDARG00000089241,133.2706641,-0.882674699,2.32E-05,0.002337617
ENSDARG00000055523,613.8543375,0.7677875,2.35E-05,0.002360927
ENSDARG00000057128,2817.709847,-0.390320489,2.54E-05,0.002531918
ENSDARG00000015033,254.2348363,0.61704817,2.57E-05,0.00255111
ENSDARG00000029596,1159.396561,-0.384260446,2.62E-05,0.00258108
ENSDARG00000093786,467.5463567,-0.628756671,2.62E-05,0.00258108
ENSDARG00000026654,773.62538,0.309790991,2.65E-05,0.00259116
ENSDARG00000095752,992.002386,0.360396464,2.70E-05,0.002629296
